id,number,title,user,state,created_at,open_duration_days,closed_at,comments
3522092204,354,"Command failed: docker container start WinBoat -> ventoy (""Winboat Guest Api offline - Container exiting"")","NamedUser(login=""Erik-38"")",open,2025-10-16,,,0
3520385293,352,[Bug] Pre-requisites does not check for docker status without restarting the program,"NamedUser(login=""Managor"")",open,2025-10-16,,,0
3518727225,349,[Feature] Front end for winget/scoop/chocolatey,"NamedUser(login=""Simon-Weij"")",open,2025-10-15,,,0
3516845708,345,[Bug] Unable to start Windows,"NamedUser(login=""d4v1d0v1c"")",closed,2025-10-15,1 days 03:24:54,2025-10-16,2
3515778157,343,[Feature] Add ability to mount another folder from host,"NamedUser(login=""DeveloperPaul123"")",open,2025-10-14,,,1
3515757791,341,[Feature] Scaling at 125%,"NamedUser(login=""conphilpott"")",open,2025-10-14,,,0
3515669028,340,[Bug] Docker Compose (Snap) Cannot Access ~/.winboat/ Due to Confinement,"NamedUser(login=""lancer-code"")",open,2025-10-14,,,0
3513777057,334,[Bug] Windows 11 pop-ups get stuck on the screen,"NamedUser(login=""benp06"")",open,2025-10-14,,,0
3513742812,333,[Bug] winboat guest server leaking powershell processes,"NamedUser(login=""alfu32"")",open,2025-10-14,,,0
3513692646,331,[Bug] USB microphone does not work both with and without the USB passthrough,"NamedUser(login=""shivamtrivedi01"")",open,2025-10-14,,,0
3513416597,330,[Feature] Audio support for vnc,"NamedUser(login=""rglindong-new"")",open,2025-10-14,,,0
3513309054,329,[Bug] Unable to install,"NamedUser(login=""AlbertFoGu"")",open,2025-10-14,,,2
3512347316,328,[Bug] code EUSAGE - npm ci error,"NamedUser(login=""knameless27"")",open,2025-10-14,,,0
3510901236,325,[Bug] 1st Run fails to detect FreeRDP3 (Deb installer),"NamedUser(login=""the-moog"")",closed,2025-10-13,0 days 04:46:10,2025-10-13,1
3510362176,324,[Feature] Language selection in custom ISO images,"NamedUser(login=""arslan-charyyev"")",open,2025-10-13,,,0
3508302000,322,[Feature] Multiple instances of the same app,"NamedUser(login=""helpnoob"")",open,2025-10-13,,,0
3508226984,321,[Feature] Use an already installed version of Windows as the VM,"NamedUser(login=""Matakor"")",open,2025-10-13,,,1
3507977650,320,[Feature] Publish as a Flatpak on Flathub.,"NamedUser(login=""MagmaSlime123"")",open,2025-10-12,,,1
3507914202,319,[Feature] more information about RDP check,"NamedUser(login=""danidak"")",closed,2025-10-12,0 days 00:06:42,2025-10-12,1
3507685022,317,[Feature] Show some indication that the app requested to run is actually trying to do so,"NamedUser(login=""Diatonator"")",open,2025-10-12,,,2
3507437140,316,[Bug] apps wont open on gui,"NamedUser(login=""Text1112"")",closed,2025-10-12,1 days 06:21:49,2025-10-13,6
3507249489,314,[Feature] Same mouse cursor,"NamedUser(login=""Muki124"")",open,2025-10-12,,,2
3507018002,313,[Bug] WINBOAT is reporting that /dev/kvm is missing and kvm is not available,"NamedUser(login=""grazy58"")",closed,2025-10-12,1 days 19:52:11,2025-10-14,1
3507010705,312,[Bug] Persistent Windows installation failure when Docker is running from snap,"NamedUser(login=""advancingu"")",open,2025-10-12,,,0
3506666884,311,[Feature] CLI arguments to allow launching a program from within the VM,"NamedUser(login=""lever1209"")",open,2025-10-12,,,0
3506536588,310,[Bug] lockfile out of sync,"NamedUser(login=""ArjixWasTaken"")",closed,2025-10-12,1 days 21:07:26,2025-10-13,6
3506396905,309,"[Bug] no sound when installing custom isos, apps wont launch","NamedUser(login=""zack99kid"")",open,2025-10-11,,,1
3506242234,308,"[Bug] When running on native wayland, UI laggs a lot","NamedUser(login=""d1BG"")",open,2025-10-11,,,1
3506212939,307,[Feature] .desktop support,"NamedUser(login=""Muki124"")",open,2025-10-11,,,2
3506117297,306,[Bug] .rpm not working on Nobara,"NamedUser(login=""notyurigagarin"")",open,2025-10-11,,,1
3506113742,305,[Bug] JavaScript Error when closing,"NamedUser(login=""lolpowerluke"")",open,2025-10-11,,,3
3505982681,304,[Feature] Question: Possible to let qemu emulate TPM device?,"NamedUser(login=""oli-arborum"")",open,2025-10-11,,,1
3505941051,303,[Feature] Bind USB Passthrough device to application,"NamedUser(login=""VaiOnko"")",open,2025-10-11,,,0
3505825548,302,[Feature] Fractional Display Scaling,"NamedUser(login=""veeeeeeeerycooolgm123"")",closed,2025-10-11,0 days 00:01:55,2025-10-11,0
3505777082,301,[Bug] Active Virtualisation not getting detected,"NamedUser(login=""SayWhatTF2"")",open,2025-10-11,,,0
3505669061,300,[Feature] Detect Docker Context so WinBoat can know if the correct one is being used,"NamedUser(login=""kevinnkansah"")",open,2025-10-11,,,0
3505132669,299,[Bug] Lines around Visual Studio window borders overlap both system and WinBoat windows.,"NamedUser(login=""pizzaperp95"")",open,2025-10-11,,,0
3504768058,297,[Bug] Scaling Bug? (gap between top of screen. MS Office Suite and visual code),"NamedUser(login=""Dormant-Hero"")",open,2025-10-10,,,0
3504140350,296,[Feature] Don't require .iso to launch container after install,"NamedUser(login=""Matheos96"")",open,2025-10-10,,,0
3503321868,294,"[Bug] If Windows 11 password expires, Winboat can't open the RDP via the UI","NamedUser(login=""sherfst"")",open,2025-10-10,,,3
3503265013,293,[Bug] Visual Studio 2022 doesn't open correctly as an external app,"NamedUser(login=""sherfst"")",open,2025-10-10,,,0
3503232019,292,[Bug] Winboat UI doesn't remember windows location on close,"NamedUser(login=""sherfst"")",closed,2025-10-10,0 days 00:12:51,2025-10-10,1
3502235458,289,[Bug] Multi-monitor setup buggy (maximizing across screens or mouse offset),"NamedUser(login=""skjerns"")",open,2025-10-10,,,0
3501632996,288,[Feature] Support for Davinci Resolve,"NamedUser(login=""TheDarkUndoing"")",open,2025-10-10,,,2
3501043643,287,[Bug] json,"NamedUser(login=""Pylovara"")",closed,2025-10-10,0 days 02:27:09,2025-10-10,6
3500992463,286,[Bug] Unusable for any graphics work due to low quality  graphical artifacting over RDP,"NamedUser(login=""rihards-simanovics"")",open,2025-10-10,,,0
3500936536,284,[Bug] RPM Package Installation Fails Due to File Conflict with Lens,"NamedUser(login=""miguelovila"")",open,2025-10-10,,,0
3500813173,282,[Bug] Cursor events not registering in the Affinity Suite,"NamedUser(login=""Itschotsch"")",open,2025-10-09,,,2
3500735274,280,[Bug] Daemon not being detected in non-systemd distros,"NamedUser(login=""fulalas"")",open,2025-10-09,,,2
3500722546,279,[Bug] Maximizing window leads to buggy session,"NamedUser(login=""moontato"")",open,2025-10-09,,,0
3500640595,276,[Feature] Applications that need Windows settings like correct time zones or to open other applications like browsers do not work,"NamedUser(login=""FrozenDeathKnight"")",open,2025-10-09,,,6
3500556558,275,[Feature] Use system window decorations on Winboat windows,"NamedUser(login=""VanillaCold"")",open,2025-10-09,,,0
3500064170,272,[Feature] Detect when docker fails to start container due to missing iso file,"NamedUser(login=""GoldenReverie"")",open,2025-10-09,,,0
3499654926,271,[Bug] Apps not behaving themselves when run from WinBoat - iTunes & Foobar2000,"NamedUser(login=""avoiceofreason"")",open,2025-10-09,,,0
3499540067,269,[Bug] Install of WinBoat hangs indefinitely DUPE PLEASE DELETE,"NamedUser(login=""avoiceofreason"")",closed,2025-10-09,0 days 10:32:43,2025-10-10,0
3499519128,268,[Feature] SATA Passthrough,"NamedUser(login=""Zombiebattler"")",open,2025-10-09,,,0
3499508627,267,"[Bug] Install hung, possibly container bombed","NamedUser(login=""avoiceofreason"")",open,2025-10-09,,,3
3499409175,266,[Bug] Windows install doesnt get past 42%,"NamedUser(login=""CharlieJP05"")",closed,2025-10-09,0 days 00:34:33,2025-10-09,1
3498812116,265,[Bug] FreeRDP 3 not detected,"NamedUser(login=""jr4g"")",closed,2025-10-09,0 days 06:12:17,2025-10-09,6
3498811774,264,[Bug] user in 'docker' group is not detected,"NamedUser(login=""flooryyyy"")",open,2025-10-09,,,10
3497630877,263,[Bug],"NamedUser(login=""Anhengineer"")",closed,2025-10-09,0 days 13:04:57,2025-10-09,8
3497462332,262,[Bug] Install Fails With Local Network Sharing Disabled In VPN,"NamedUser(login=""microsoftruinseverything456"")",open,2025-10-09,,,0
3497438575,261,[Bug] has been successfully installed but double click to open the black screen,"NamedUser(login=""yanzhang4013"")",open,2025-10-09,,,4
3497162638,258,[Bug] Apps keep booting on wrong monitor,"NamedUser(login=""kaidenart"")",closed,2025-10-08,0 days 18:38:47,2025-10-09,2
3497049647,257,[Bug] Acellus app takes priority upon having a window over it,"NamedUser(login=""sillynilah"")",open,2025-10-08,,,1
3496996696,256,[Bug] no location selection dialog displayed during installation,"NamedUser(login=""jmozd"")",open,2025-10-08,,,5
3496917574,255,[Bug] Unable to select install path,"NamedUser(login=""Zetaphor"")",closed,2025-10-08,0 days 01:24:09,2025-10-08,0
3496729794,254,[Feature] Resizing virtual disk,"NamedUser(login=""yoshiweegee"")",open,2025-10-08,,,6
3496508754,251,[Feature] Full offline installation?,"NamedUser(login=""Darthagnon"")",open,2025-10-08,,,2
3496384043,250,[Bug] Winboat UI crash causing laggy UI and unresponsiveness,"NamedUser(login=""djex"")",open,2025-10-08,,,1
3496236476,249,[Feature] Torrenting windows isos,"NamedUser(login=""Simon-Weij"")",open,2025-10-08,,,5
3496217844,248,[Bug] Daemon not being detected,"NamedUser(login=""kevinnkansah"")",closed,2025-10-08,0 days 00:02:15,2025-10-08,2
3495997136,247,[Bug] Some Paint.NET windows endlessly move to the right of the screen,"NamedUser(login=""VanillaCold"")",closed,2025-10-08,0 days 00:55:01,2025-10-08,1
3495625774,246,[Bug] WINBOAT is reporting that /dev/kvm is missing and kvm is not available.,"NamedUser(login=""goatedpenguin"")",open,2025-10-08,,,5
